Rival;ID Rival
30 pelusas;1
4tos de Final;2
5º3ª TT 07;3
Ajeivut;4
Al Wasl;5
Alegria;6
Aleti Galera;7
AltoForo;8
Amigos 123;9
Amigos Aker;10
Amigos Alan TKD;11
Amigos Ari;12
Amigos Bertic;13
Amigos Bruchus;14
Amigos Buh;15
Amigos Charles;16
Amigos Chori;17
Amigos Dozetas;18
Amigos Excursio;19
Amigos Fedev;20
Amigos Gato;21
Amigos Geale;22
Amigos Gualbi;23
Amigos Hernan;24
Amigos HH;25
Amigos Luis;26
Amigos Martin123;27
Amigos Mauro;28
Amigos Negro;29
Amigos Pipo;30
Amigos Pippo;31
Amigos Quinof;32
Amigos Rodra;33
Amigos Ruisko;34
Amigos Tomas;35
Amigos ZZ;36
Amistoso;37
Argentinos;38
Asaye;39
Bicho;40
Blascho;41
BNA;42
BNA (0096);43
BNA (AA Volantes);44
BNA (Av. Corrientes);45
BNA (Av. De Mayo);46
BNA (Balvanera);47
BNA (Bulnes);48
BNA (CPSCP);49
BNA (Florida);50
BNA (Monserrat);51
BNA (Montserrat);52
BNA (Pellegrini);53
Cachamay;54
Chancho Rojo;55
Churros Manolo;56
CNBA;57
Cnbaforo;58
Coca;59
Cosa nostra;60
Deloitte;61
Deportea;62
Desafio Seba12;63
Dia;64
Dodorias;65
Dozetas;66
Enfiestados;67
Equipo Gualbi;68
Escocia;69
Etertin;70
Extrabrut;71
Farsa;72
Fatigatti;73
FedeV;74
Fichas;75
Filosofia;76
Final;77
Foro;78
Foro Pelle;79
ForoPelle;80
Futsal Ferro;81
Gata Gallarda;82
Gatoreit;83
Graduados;84
Grupos;85
Indec;86
La Banda;87
La Maquina;88
La Papa;89
LHR;90
Linces;91
Los de Rivarola;92
Lucho-Seba12;93
Mansalva Team;94
Mapuches ;95
Mecon;96
Melmac;97
Ministerio;98
Mix;99
Mongui FC;100
Muchachos Cnel;101
Mufeti;102
Nahuel;103
Nenardos;104
No Egresados;105
Olè;106
Pio IX;107
Playa;108
Redonda Pasion;109
Regina FC;110
Rejunte;111
Semifinal;112
Sociales Libres;113
Spika;114
Subjetivos;115
Taker;116
Taladro;117
Timoteo;118
Tio Cosa;119
Torneo;120
Torneo BNA;121
Torneo empresa;122
Torneo Mecon;123
Torneo Pelle;124
Torneo UBA;125
UK Embassy;126
Vaguitos;127
Viaje Sur;128
Yucatan;129
